Formula,Answer
334-105,229 
994+335,1329
801+11 ,812 
946+87 ,1033
535-465,70  
632-161,471 
668+29 ,697 
539+230,769 
802-235,567 
387-285,102 
995+335,1330
860+288,1148
681-632,49  
835+42 ,877 
766-160,606 
298+51 ,349 
647-150,497 
485-266,219 
936-575,361 
774+425,1199
898+418,1316
920+328,1248
724+671,1395
524-135,389 
761+503,1264
788+581,1369
894-710,184 
706-581,125 
267-109,158 
581+506,1087
825-601,224 
688+342,1030
565-513,52  
656-582,74  
309+233,542 
388+215,603 
683+229,912 
871-201,670 
469-30 ,439 
903-614,289 
683-293,390 
231-223,8   
943+65 ,1008
756+450,1206
775+602,1377
586-485,101 
827+423,1250
888-629,259 
518+143,661 
66+23  ,89  
447-55 ,392 
892+678,1570
917+69 ,986 
576+388,964 
854+853,1707
621-143,478 
751+21 ,772 
408-186,222 
988-817,171 
141-93 ,48  
721+676,1397
779+343,1122
566+498,1064
670+180,850 
929+132,1061
654+200,854 
414-220,194 
785+712,1497
427-151,276 
665+578,1243
761-629,132 
818+26 ,844 
975+894,1869
877-713,164 
792+171,963 
950+500,1450
765-572,193 
400+200,600 
774+718,1492
973-754,219 
919+703,1622
901+300,1201
586-263,323 
953-719,234 
572-81 ,491 
188+36 ,224 
401-255,146 
582+219,801 
613-206,407 
877-126,751 
635+491,1126
583-435,148 
434-286,148 
828+694,1522
944-363,581 
832-793,39  
353-91 ,262 
812-194,618 
597+378,975 
987-476,511 
637+267,904 
781+250,1031
732-111,621 
775-270,505 
902+434,1336
240-30 ,210 
918-538,380 
508-23 ,485 
520+131,651 
734-421,313 
882-506,376 
586+125,711 
979+483,1462
752+435,1187
969+154,1123
678-514,164 
632-558,74  
610+493,1103
178+131,309 
336+237,573 
237-205,32  
855+600,1455
72+37  ,109 
862-377,485 
939-715,224 
358-292,66  
909+812,1721
764-269,495 
951+603,1554
603+127,730 
993+500,1493
469-165,304 
454+293,747 
943+125,1068
574+30 ,604 
630+360,990 
877+521,1398
244+198,442 
754+502,1256
436-314,122 
550+390,940 
243+130,373 
778+227,1005
959+233,1192
470-132,338 
505+136,641 
562+480,1042
805-378,427 
910-303,607 
883-850,33  
727-709,18  
826+42 ,868 
733-89 ,644 
983+862,1845
959-742,217 
866-736,130 
982-946,36  
360-2  ,358 
665+154,819 
965+677,1642
529+495,1024
420-400,20  
944+912,1856
628-523,105 
515-186,329 
575-474,101 
816-543,273 
671+96 ,767 
506-295,211 
937+289,1226
814-812,2   
94+60  ,154 
775+193,968 
876+208,1084
835+754,1589
386+214,600 
358-177,181 
794-401,393 
715-596,119 
913+819,1732
895-474,421 
581+39 ,620 
979+137,1116
839-754,85  
656+515,1171
941+322,1263
634+104,738 
395+242,637 
370+14 ,384 
432-311,121 
108+71 ,179 
594+546,1140
950-306,644 
892-361,531 
698+113,811 
945+31 ,976 
789+475,1264
402+40 ,442 
515+56 ,571 
925-835,90  
344+318,662 
