Formula,Answer
381+195,576 
910+866,1776
442+246,688 
763+202,965 
983+76 ,1059
990+731,1721
725-569,156 
474-305,169 
192-121,71  
379+222,601 
515-171,344 
944+434,1378
500+343,843 
842+76 ,918 
783-188,595 
785+237,1022
705+127,832 
238+128,366 
633-61 ,572 
366-281,85  
786+638,1424
820+275,1095
397+392,789 
682+178,860 
901-675,226 
525-18 ,507 
449-321,128 
817+222,1039
993-380,613 
339+183,522 
960-53 ,907 
962-321,641 
621+505,1126
934-705,229 
843-644,199 
347-111,236 
184+91 ,275 
140-92 ,48  
578+423,1001
902-369,533 
153-20 ,133 
752-105,647 
726+469,1195
859-282,577 
367-142,225 
312+61 ,373 
553-110,443 
847-598,249 
614+210,824 
627+409,1036
332+69 ,401 
681-482,199 
973-251,722 
844+629,1473
912+737,1649
969-724,245 
569+203,772 
398-102,296 
727-485,242 
827+281,1108
735-603,132 
777+525,1302
757-451,306 
616+581,1197
116-102,14  
704+625,1329
614+539,1153
928+42 ,970 
242-221,21  
362-176,186 
649+28 ,677 
497-172,325 
756-383,373 
474+128,602 
595+191,786 
648-319,329 
822-562,260 
757+121,878 
279-89 ,190 
479-269,210 
811-296,515 
709+510,1219
905+692,1597
601+573,1174
967+715,1682
307+48 ,355 
551+515,1066
962-523,439 
349+230,579 
699+12 ,711 
908-679,229 
782+612,1394
896+785,1681
891-459,432 
746+71 ,817 
729-252,477 
790+169,959 
988+206,1194
932-126,806 
490-174,316 
721+134,855 
897-341,556 
857+249,1106
587+391,978 
178-130,48  
643-119,524 
775+595,1370
806-239,567 
453-56 ,397 
645-274,371 
969-699,270 
917-193,724 
716+635,1351
709-199,510 
387-124,263 
737-47 ,690 
339+73 ,412 
909+20 ,929 
751-364,387 
507+363,870 
574-344,230 
860-756,104 
781+549,1330
903+797,1700
555+206,761 
840-386,454 
750-191,559 
568+122,690 
965-265,700 
930+647,1577
951+934,1885
524+67 ,591 
690+86 ,776 
612+197,809 
573+109,682 
504-272,232 
540+432,972 
502-242,260 
589+268,857 
531+235,766 
968-746,222 
236+166,402 
202-28 ,174 
607-218,389 
927-732,195 
323-263,60  
840-387,453 
269+6  ,275 
817-161,656 
378-268,110 
871-672,199 
490+363,853 
593-394,199 
622-91 ,531 
214+56 ,270 
725+40 ,765 
771+14 ,785 
813+248,1061
863+626,1489
328+245,573 
436+41 ,477 
775-579,196 
931+713,1644
913-499,414 
567+376,943 
280+186,466 
958+154,1112
153-22 ,131 
772+254,1026
629-245,384 
898+458,1356
925-551,374 
781+117,898 
288-255,33  
634+286,920 
789+456,1245
810-736,74  
445+232,677 
723+389,1112
985-624,361 
187-103,84  
853+699,1552
676-435,241 
245+26 ,271 
864+258,1122
770+667,1437
938-276,662 
920+618,1538
920+536,1456
597-96 ,501 
304-190,114 
97+44  ,141 
661-128,533 
866+338,1204
424-86 ,338 
512-215,297 
972+222,1194
784-734,50  
724+472,1196
905+303,1208
777-560,217 
953+109,1062
916-817,99  
683-341,342 
978-901,77  
690-397,293 
996+718,1714
62-51  ,11  
491-338,153 
468+270,738 
164+22 ,186 
758+171,929 
922+310,1232
667-516,151 
335-18 ,317 
765-377,388 
103-59 ,44  
844+568,1412
430+180,610 
565+20 ,585 
962+797,1759
285+46 ,331 
121+84 ,205 
636-471,165 
974+283,1257
837+467,1304
989+100,1089
836+262,1098
554+341,895 
757-238,519 
419+204,623 
459+125,584 
825+369,1194
284-20 ,264 
980+372,1352
576+160,736 
378-163,215 
285-109,176 
869+418,1287
414-242,172 
411-403,8   
503+299,802 
854+359,1213
755-572,183 
714+662,1376
141-27 ,114 
703-333,370 
782+320,1102
888+879,1767
867+712,1579
407-118,289 
532-290,242 
651-126,525 
890-129,761 
381-37 ,344 
187-44 ,143 
364-81 ,283 
811-366,445 
982+0  ,982 
500-309,191 
765+363,1128
281-1  ,280 
594-470,124 
897-632,265 
830-506,324 
951-252,699 
920-900,20  
786-1  ,785 
877-500,377 
919-5  ,914 
683-515,168 
882-262,620 
31+6   ,37  
644-197,447 
216-149,67  
996-377,619 
874+478,1352
312-235,77  
830-85 ,745 
817+598,1415
883-489,394 
940+557,1497
512+295,807 
980-217,763 
772-30 ,742 
723+581,1304
894+278,1172
658+429,1087
928+253,1181
898-747,151 
546-532,14  
731+331,1062
641+638,1279
206-81 ,125 
752+97 ,849 
395+152,547 
360+79 ,439 
669-85 ,584 
894-243,651 
950+904,1854
344+292,636 
683-192,491 
679-386,293 
736-465,271 
720-473,247 
948-473,475 
663-162,501 
479-22 ,457 
810-299,511 
474-99 ,375 
860-70 ,790 
651+14 ,665 
914-394,520 
763+727,1490
441-4  ,437 
944-473,471 
799-101,698 
642-474,168 
590+101,691 
974+645,1619
901+122,1023
629-349,280 
962+774,1736
729-10 ,719 
493+398,891 
841+609,1450
619-377,242 
463+273,736 
518+481,999 
527+413,940 
568-401,167 
964+840,1804
655+171,826 
695+531,1226
846+609,1455
516-487,29  
912-566,346 
719-109,610 
458+234,692 
332+100,432 
712-475,237 
82+79  ,161 
888+43 ,931 
826-293,533 
424-327,97  
709+355,1064
473-239,234 
760-61 ,699 
859+559,1418
591-102,489 
783+151,934 
613+390,1003
663+594,1257
176+129,305 
688+47 ,735 
817+300,1117
669-116,553 
957+557,1514
794-697,97  
920+565,1485
598+576,1174
731+570,1301
374+223,597 
924-224,700 
639-332,307 
915-445,470 
715-186,529 
289-74 ,215 
889+388,1277
496+185,681 
867-359,508 
855+368,1223
807+623,1430
750+295,1045
768+684,1452
841+336,1177
805-152,653 
634-605,29  
988+955,1943
795-682,113 
766-530,236 
449+276,725 
358+324,682 
740-422,318 
666+604,1270
752+376,1128
276+49 ,325 
348-174,174 
351+109,460 
882+374,1256
691-638,53  
846+766,1612
233-134,99  
986-785,201 
817+47 ,864 
799+16 ,815 
516+241,757 
270+44 ,314 
815+751,1566
812+297,1109
981-673,308 
245-128,117 
746+709,1455
330+95 ,425 
867+618,1485
602+105,707 
798-610,188 
780+168,948 
712-10 ,702 
871+90 ,961 
846+792,1638
811+390,1201
776-210,566 
868-623,245 
815+727,1542
548-2  ,546 
906+57 ,963 
994+423,1417
657-112,545 
372-341,31  
950+400,1350
888-443,445 
889+703,1592
252-70 ,182 
477-382,95  
368-85 ,283 
751-713,38  
301+190,491 
168+118,286 
445+16 ,461 
917+767,1684
826-678,148 
606+341,947 
720+537,1257
684-530,154 
970-733,237 
502+331,833 
113-18 ,95  
884-585,299 
458+429,887 
809+358,1167
473-80 ,393 
750-266,484 
781+57 ,838 
872+351,1223
812+599,1411
746+394,1140
833-797,36  
597-438,159 
735+526,1261
518-477,41  
746-469,277 
789+654,1443
760-501,259 
627-148,479 
442-35 ,407 
767+528,1295
548-490,58  
790+335,1125
728-678,50  
964+472,1436
667-401,266 
754-226,528 
850-288,562 
352-100,252 
859-832,27  
937-664,273 
935-324,611 
127+83 ,210 
386+252,638 
862+313,1175
474+277,751 
473-382,91  
458-2  ,456 
457-455,2   
554-145,409 
966+228,1194
812+636,1448
645-425,220 
335-35 ,300 
995-982,13  
404-304,100 
280-110,170 
397+273,670 
726-478,248 
622-581,41  
468-418,50  
393+123,516 
932+449,1381
707+25 ,732 
824+562,1386
821-713,108 
938+126,1064
132+43 ,175 
745-154,591 
247-230,17  
728+355,1083
940-638,302 
641-297,344 
239+29 ,268 
687-117,570 
839+138,977 
977-83 ,894 
545-194,351 
323-195,128 
712-315,397 
599-97 ,502 
715+40 ,755 
415+312,727 
510-393,117 
647+277,924 
427+37 ,464 
523-296,227 
906-19 ,887 
895+612,1507
875-529,346 
621-30 ,591 
930+445,1375
533-7  ,526 
975+935,1910
864-442,422 
688-650,38  
700-333,367 
702+632,1334
967+652,1619
452-105,347 
517-322,195 
625-265,360 
167-62 ,105 
848+377,1225
922-677,245 
651+441,1092
886+119,1005
908-855,53  
713-699,14  
358+140,498 
922+75 ,997 
683-144,539 
931-688,243 
879-620,259 
208+25 ,233 
676+386,1062
921+889,1810
531+358,889 
458-374,84  
933+419,1352
444-419,25  
838-87 ,751 
264-255,9   
579-425,154 
656+610,1266
690-597,93  
974+283,1257
947+206,1153
781+642,1423
760-55 ,705 
882+410,1292
801-107,694 
795+204,999 
247-62 ,185 
440+15 ,455 
730+307,1037
587-327,260 
519-23 ,496 
404+321,725 
240+125,365 
997+126,1123
439-43 ,396 
768-660,108 
719+81 ,800 
749+140,889 
669+216,885 
534-317,217 
982-892,90  
344+310,654 
974+207,1181
990+571,1561
905-357,548 
906-17 ,889 
249-55 ,194 
333-98 ,235 
520-289,231 
103+93 ,196 
814+516,1330
667+421,1088
816+626,1442
713-439,274 
467+330,797 
840+539,1379
588-2  ,586 
102+73 ,175 
811+103,914 
456+86 ,542 
817-633,184 
865-805,60  
379+352,731 
844+119,963 
530+461,991 
931-190,741 
512+82 ,594 
733+114,847 
721+666,1387
409-214,195 
245-114,131 
909+416,1325
936+647,1583
969-37 ,932 
239+129,368 
292-227,65  
327-84 ,243 
362-264,98  
962+729,1691
340+19 ,359 
319+224,543 
386+130,516 
952-723,229 
732+13 ,745 
751+636,1387
916-823,93  
739-505,234 
831+288,1119
827+365,1192
866-26 ,840 
442-150,292 
751+203,954 
225+192,417 
722-425,297 
309-6  ,303 
177+163,340 
64-11  ,53  
138+65 ,203 
262+105,367 
880-368,512 
795+479,1274
619+579,1198
308+307,615 
481-54 ,427 
900+56 ,956 
696+60 ,756 
627-504,123 
886-809,77  
696+520,1216
901-283,618 
963-271,692 
689-482,207 
776-260,516 
767-0  ,767 
208-77 ,131 
737+299,1036
348-40 ,308 
499+346,845 
565-338,227 
841+73 ,914 
198-96 ,102 
824+784,1608
898-660,238 
922-55 ,867 
918+85 ,1003
512-267,245 
293-158,135 
392+188,580 
106-33 ,73  
912-145,767 
500+414,914 
605+66 ,671 
628+369,997 
410+166,576 
620+331,951 
657-545,112 
558-501,57  
459-43 ,416 
758-196,562 
809-549,260 
674+478,1152
842-43 ,799 
562-120,442 
926-284,642 
666-192,474 
680-627,53  
150-112,38  
445+340,785 
387+117,504 
957+311,1268
953-508,445 
905+495,1400
668+227,895 
755-131,624 
627-479,148 
724-177,547 
712+490,1202
898-622,276 
781+252,1033
665-82 ,583 
338-200,138 
863-472,391 
905+470,1375
631+121,752 
422-119,303 
657-447,210 
873+726,1599
998-911,87  
289-40 ,249 
958+312,1270
781-713,68  
623-51 ,572 
698+496,1194
976+392,1368
523+510,1033
487-141,346 
992-271,721 
981+316,1297
480-57 ,423 
895+827,1722
302-165,137 
651+559,1210
507-401,106 
883+391,1274
814+472,1286
300-202,98  
658-655,3   
971-285,686 
781-564,217 
145+0  ,145 
813+633,1446
530-200,330 
231+14 ,245 
362-107,255 
307+45 ,352 
504-413,91  
893-387,506 
455-24 ,431 
942+85 ,1027
682-113,569 
945+58 ,1003
817-340,477 
992+829,1821
735+77 ,812 
598+254,852 
712-557,155 
959-205,754 
766+67 ,833 
651-100,551 
306+271,577 
610+389,999 
914-87 ,827 
647+108,755 
917+306,1223
470+236,706 
873+161,1034
839+124,963 
742-689,53  
532-499,33  
639-72 ,567 
785-506,279 
695-471,224 
922-657,265 
784+758,1542
812-227,585 
724+517,1241
906-333,573 
366+284,650 
964+285,1249
396+265,661 
314+301,615 
945-649,296 
932-702,230 
362+94 ,456 
459+115,574 
908-565,343 
521+475,996 
662+298,960 
973+277,1250
569-365,204 
751+501,1252
306+79 ,385 
668-169,499 
129+92 ,221 
861-698,163 
451+299,750 
997+450,1447
497-386,111 
385-260,125 
819-227,592 
754+413,1167
826+249,1075
474-143,331 
393+393,786 
887+597,1484
185+109,294 
517-48 ,469 
726-725,1   
669-287,382 
987-565,422 
946+631,1577
742-342,400 
243+117,360 
509-271,238 
517+269,786 
855+104,959 
900-362,538 
636-477,159 
646+247,893 
869-20 ,849 
878+573,1451
911-340,571 
904-487,417 
829-695,134 
812-804,8   
865+103,968 
267+156,423 
666-373,293 
524-215,309 
444+296,740 
438-257,181 
704+345,1049
363+117,480 
700+161,861 
545-112,433 
834+634,1468
842-676,166 
174-131,43  
629+51 ,680 
339-282,57  
818-709,109 
260-226,34  
24+2   ,26  
748-65 ,683 
604-305,299 
844-639,205 
669+287,956 
991+319,1310
760-114,646 
582+256,838 
243-236,7   
679-9  ,670 
880-6  ,874 
877+818,1695
729+443,1172
901-872,29  
750+108,858 
858+822,1680
242+148,390 
569-202,367 
994+918,1912
712+597,1309
864-789,75  
855+203,1058
406-222,184 
602-544,58  
568-142,426 
562-311,251 
737-717,20  
766+152,918 
928-302,626 
887+463,1350
597+303,900 
668-116,552 
901-788,113 
618-438,180 
769-284,485 
909-335,574 
499+487,986 
664-13 ,651 
303-43 ,260 
724+646,1370
914+660,1574
741+428,1169
305+190,495 
644-509,135 
894-47 ,847 
464-190,274 
561+523,1084
481-188,293 
833+538,1371
479-52 ,427 
647+250,897 
340-230,110 
361-235,126 
128-26 ,102 
554-509,45  
934-302,632 
49-33  ,16  
250+213,463 
623-444,179 
776-52 ,724 
774-772,2   
803+391,1194
418-214,204 
954-466,488 
977-863,114 
693+303,996 
874+24 ,898 
732+383,1115
827+452,1279
541-131,410 
387+341,728 
673+389,1062
366+178,544 
622+581,1203
981-418,563 
876+753,1629
992-283,709 
256+246,502 
740+598,1338
932+660,1592
489-322,167 
979+881,1860
815-50 ,765 
253-186,67  
973-42 ,931 
344-43 ,301 
266-14 ,252 
86+18  ,104 
574+489,1063
592+248,840 
677-541,136 
625-481,144 
912+787,1699
925+514,1439
528+138,666 
846+829,1675
883+393,1276
941-898,43  
467+118,585 
776+217,993 
717+390,1107
670+526,1196
775-91 ,684 
247-154,93  
695+296,991 
119+15 ,134 
508+428,936 
664-208,456 
775-251,524 
922+919,1841
340+172,512 
738-587,151 
376-175,201 
961+48 ,1009
475-141,334 
123+21 ,144 
752-679,73  
628+11 ,639 
648-643,5   
687-336,351 
910-391,519 
969+470,1439
771-591,180 
995+343,1338
716-629,87  
652-22 ,630 
767-39 ,728 
970-389,581 
894+300,1194
407-146,261 
862+311,1173
660-521,139 
737-543,194 
665+115,780 
988-502,486 
914-289,625 
609-264,345 
676+172,848 
698-420,278 
650-161,489 
972-830,142 
724-545,179 
382-377,5   
568+189,757 
343+285,628 
502+194,696 
754-379,375 
377-276,101 
144+10 ,154 
657-14 ,643 
586+83 ,669 
466-179,287 
611-284,327 
707+352,1059
907+97 ,1004
791-710,81  
795+156,951 
102+0  ,102 
846+57 ,903 
652+567,1219
246-102,144 
683+146,829 
557-5  ,552 
704-445,259 
937+888,1825
823-528,295 
536+346,882 
858+187,1045
905-290,615 
840+62 ,902 
504-44 ,460 
667-275,392 
812+444,1256
418+386,804 
544+114,658 
722-716,6   
986+69 ,1055
424-119,305 
951-831,120 
70+10  ,80  
508-140,368 
828+196,1024
674-357,317 
834-451,383 
517+339,856 
691+645,1336
241-125,116 
691+143,834 
807+724,1531
980+503,1483
891-556,335 
990-839,151 
249-119,130 
233+51 ,284 
736-670,66  
799-108,691 
69-36  ,33  
636-237,399 
785-606,179 
831-274,557 
564+532,1096
928+775,1703
422+44 ,466 
546-348,198 
561-162,399 
573-200,373 
931+712,1643
806-683,123 
825+143,968 
350-95 ,255 
979+687,1666
789-612,177 
916+521,1437
503+0  ,503 
677-549,128 
646+124,770 
217+31 ,248 
680+645,1325
801+351,1152
543+401,944 
131-79 ,52  
820+343,1163
993-799,194 
903+276,1179
468-85 ,383 
880+44 ,924 
553+376,929 
548+508,1056
935+78 ,1013
622-150,472 
550+372,922 
922-17 ,905 
517+147,664 
998-144,854 
458+362,820 
791+55 ,846 
369-322,47  
901-369,532 
564+168,732 
885+837,1722
490-89 ,401 
261-125,136 
280-141,139 
398-221,177 
959-880,79  
354-127,227 
840+459,1299
689+479,1168
901+717,1618
591+221,812 
761-710,51  
288-118,170 
364-35 ,329 
219-185,34  
686-426,260 
754+446,1200
654-614,40  
215+57 ,272 
232+217,449 
264-93 ,171 
871-792,79  
969-306,663 
753-86 ,667 
624-292,332 
958-337,621 
727-568,159 
765+192,957 
857-460,397 
477+74 ,551 
729-81 ,648 
644+609,1253
696+484,1180
