Formula,Answer
369489+201303,570792 
860312+599528,1459840
60113+31198  ,91311  
877435+171077,1048512
710456-331098,379358 
826910-260553,566357 
599901+575752,1175653
998483+92502 ,1090985
493335+484803,978138 
128330-96409 ,31921  
469017-449379,19638  
663060+136124,799184 
713432+363649,1077081
191603-81323 ,110280 
384526-138715,245811 
606603-483980,122623 
968376-909338,59038  
210167-73031 ,137136 
510284-83172 ,427112 
100646-50141 ,50505  
676591+378949,1055540
870624-623374,247250 
494716+464458,959174 
878786-577637,301149 
388655+164476,553131 
900325-817360,82965  
874087+306659,1180746
944501+26169 ,970670 
197834-188423,9411   
617150-244414,372736 
758115+139650,897765 
292371+223453,515824 
874205+156972,1031177
538317-412220,126097 
413230+373849,787079 
809406+574729,1384135
784980+476741,1261721
383550-185441,198109 
653014+181414,834428 
560026+163903,723929 
980645-89185 ,891460 
942000+762222,1704222
899944-966   ,898978 
178979+159964,338943 
940542-758165,182377 
768315-394021,374294 
473031+83634 ,556665 
760831-687527,73304  
864542-141710,722832 
886950+45151 ,932101 
688277+12953 ,701230 
833780+659270,1493050
463218-218858,244360 
851749-383763,467986 
665430+569513,1234943
185655-108913,76742  
915142-226484,688658 
503503+325439,828942 
839968+410771,1250739
107023-70760 ,36263  
372917-969   ,371948 
339595-287809,51786  
705828-34500 ,671328 
665286+155708,820994 
803712+310089,1113801
793483+747030,1540513
441018-227827,213191 
774273-270016,504257 
381401-210064,171337 
945534+230281,1175815
845449-803147,42302  
828029+786745,1614774
923322-711835,211487 
997060+23432 ,1020492
296792-10090 ,286702 
909133-740785,168348 
482351-95601 ,386750 
265330+109611,374941 
459731+121227,580958 
720065-331466,388599 
890921+404690,1295611
885903-598256,287647 
527762+407692,935454 
245865-158442,87423  
96032+15405  ,111437 
777855+399498,1177353
921975-783010,138965 
284916-19893 ,265023 
960715+919408,1880123
456776-40478 ,416298 
817577+511344,1328921
521137+467280,988417 
837147+668800,1505947
394648+246224,640872 
550244+472024,1022268
192700-160081,32619  
966163+666817,1632980
256069-32544 ,223525 
849147-448144,401003 
649238-529323,119915 
591287-101178,490109 
291689-291675,14     
860191+563817,1424008
707333-537367,169966 
839460+370892,1210352
801191-520047,281144 
649171-591772,57399  
560134-216121,344013 
281017+174314,455331 
399847-9523  ,390324 
676361-675726,635    
992892-766009,226883 
932666+75452 ,1008118
956707-37518 ,919189 
493601-178358,315243 
797188-86515 ,710673 
110287+76068 ,186355 
820117+178043,998160 
920622+566023,1486645
757449+443272,1200721
988071+840728,1828799
996839-873876,122963 
592357+36001 ,628358 
724682-21570 ,703112 
374283+302932,677215 
852803+733131,1585934
839538-535320,304218 
418938-191596,227342 
26427+13373  ,39800  
604974+202779,807753 
472785+141200,613985 
780898-82812 ,698086 
602118-594114,8004   
836330-444340,391990 
667244-422142,245102 
497268+328487,825755 
975379-832310,143069 
741064+301542,1042606
795082-497480,297602 
894517-333852,560665 
826742-615476,211266 
945960+902766,1848726
515108-368475,146633 
849004-242490,606514 
422114+74619 ,496733 
850609+140575,991184 
216781+46179 ,262960 
660548+298384,958932 
556757+9142  ,565899 
846448+664880,1511328
523330-296539,226791 
989728+140041,1129769
440687+197757,638444 
671536-459919,211617 
940615+461094,1401709
646945-311302,335643 
922595-903352,19243  
578407-202159,376248 
815924+25096 ,841020 
410811+11231 ,422042 
673542-455001,218541 
991545-778555,212990 
536463+268268,804731 
294286+189506,483792 
982328+634754,1617082
332257+213141,545398 
165879-66167 ,99712  
875492-496946,378546 
349573+61331 ,410904 
910513-153702,756811 
49808+33915  ,83723  
862839+346846,1209685
996290+460261,1456551
964796-758243,206553 
817160-1337  ,815823 
847074+636063,1483137
713280-567145,146135 
834555-161192,673363 
902229+143276,1045505
112360+95211 ,207571 
918701-5525  ,913176 
672467-527289,145178 
486874-356385,130489 
948404-87796 ,860608 
691182+193681,884863 
139408-17    ,139391 
461252-16800 ,444452 
880316+32584 ,912900 
939948-897032,42916  
522792-51824 ,470968 
961860-251336,710524 
160584-87642 ,72942  
796106-297185,498921 
782029+766702,1548731
771939-285600,486339 
614657+189191,803848 
894077-528347,365730 
663948-187564,476384 
452651-255372,197279 
867905-103437,764468 
679316-343283,336033 
559519+14605 ,574124 
650083+574379,1224462
206243+74819 ,281062 
616580+407619,1024199
506887-398802,108085 
629196+416587,1045783
555323+247242,802565 
979039+417542,1396581
961509-462150,499359 
783505-369729,413776 
977523-529431,448092 
890459-818919,71540  
951954-528393,423561 
789112+159417,948529 
667022+326875,993897 
637833+526769,1164602
375883-180591,195292 
949248-428415,520833 
928767-214335,714432 
760973+635360,1396333
764104+478176,1242280
641607-284599,357008 
964392-51278 ,913114 
503083-459114,43969  
870307-124052,746255 
737714-127852,609862 
812903+368767,1181670
146750-95    ,146655 
345813-206550,139263 
649368-588251,61117  
617352+300186,917538 
726180-67019 ,659161 
112729+23656 ,136385 
906248+9935  ,916183 
301299-184410,116889 
875982+816622,1692604
232956-230944,2012   
622234+423318,1045552
214212+25328 ,239540 
396124+93006 ,489130 
972538+302934,1275472
148552-87296 ,61256  
861373-291459,569914 
955480+295415,1250895
394796-225175,169621 
715549-556957,158592 
892247-807950,84297  
875933-292504,583429 
723405-489146,234259 
434044+100680,534724 
902731+415856,1318587
175551+61069 ,236620 
266882-161562,105320 
631552+290188,921740 
273313+29815 ,303128 
873502+542490,1415992
813706+252797,1066503
463639-91477 ,372162 
271253-215604,55649  
858796+523301,1382097
482765+336665,819430 
452747+19268 ,472015 
774863-422787,352076 
420368+395842,816210 
682310+373128,1055438
527493+160361,687854 
660066-646493,13573  
709842-421671,288171 
403506+192286,595792 
852314-400075,452239 
994278+245677,1239955
679650-671856,7794   
593027-426761,166266 
851749-59379 ,792370 
759290+699940,1459230
540748-352143,188605 
678964+189476,868440 
529844-230332,299512 
800112-190556,609556 
869291+816882,1686173
875826+662514,1538340
773822+589528,1363350
614138-452560,161578 
696866+373381,1070247
747358+405434,1152792
936000-690501,245499 
697127-451235,245892 
810935-610264,200671 
468900-270558,198342 
377642+218325,595967 
886515-70744 ,815771 
822115-222961,599154 
481018+228183,709201 
447873+72826 ,520699 
927381+245293,1172674
544576+300944,845520 
956193-194801,761392 
924746-20948 ,903798 
988651+675334,1663985
204276+198159,402435 
789506+29972 ,819478 
751568+549642,1301210
595004-582563,12441  
941762+473932,1415694
665083+351451,1016534
499812+144495,644307 
500547-61273 ,439274 
976579-314869,661710 
739908-35905 ,704003 
849712-568088,281624 
611969+591470,1203439
479927-307962,171965 
972195+960247,1932442
854633-809982,44651  
796704+767848,1564552
528146+25436 ,553582 
883762-854110,29652  
975385+725781,1701166
673912-188027,485885 
668700-196910,471790 
760643+231595,992238 
207860+205869,413729 
806101+575208,1381309
899349-200483,698866 
997742-293647,704095 
954128-562710,391418 
852585-792112,60473  
220065-97544 ,122521 
960006-582843,377163 
245941-234394,11547  
764226+735955,1500181
579290+516686,1095976
543973-469512,74461  
994290+535836,1530126
172037-97923 ,74114  
827406+638578,1465984
615123-523548,91575  
916716+397964,1314680
726823+257784,984607 
931457-179344,752113 
813624-8933  ,804691 
448671+437515,886186 
778022+608424,1386446
932694+646328,1579022
886565+192323,1078888
819867+726487,1546354
648852-401588,247264 
967945+376024,1343969
749789+604979,1354768
831790+695389,1527179
564739+113138,677877 
889073+712457,1601530
778135+377001,1155136
617274-400874,216400 
238151-172937,65214  
663450+238334,901784 
997499+790659,1788158
522740-138191,384549 
959584-383403,576181 
938756+593183,1531939
559450-505188,54262  
523936-308817,215119 
239875+159323,399198 
817783-304918,512865 
936558+487580,1424138
795552+578816,1374368
377994-134796,243198 
540999+439696,980695 
560178-499678,60500  
461104-159126,301978 
112232+92923 ,205155 
646988-634435,12553  
496279-163930,332349 
963181+689249,1652430
633135+418668,1051803
113338-11590 ,101748 
634632-209578,425054 
853391-193256,660135 
143977+112280,256257 
250334+172474,422808 
983513+208249,1191762
563005+238430,801435 
646043+80889 ,726932 
823299-258441,564858 
622486-218056,404430 
510691+279133,789824 
708065-367367,340698 
341116+66097 ,407213 
439796-419182,20614  
250129-22452 ,227677 
793123-1496  ,791627 
726128+272313,998441 
572787+552708,1125495
749811+659905,1409716
394074-220092,173982 
750161+485092,1235253
779114-405061,374053 
665804-312702,353102 
209145-83932 ,125213 
635455-456823,178632 
932617+17474 ,950091 
702213-547308,154905 
885125-599362,285763 
726925+513295,1240220
285121+214168,499289 
352299-288360,63939  
755246+305004,1060250
978290+86459 ,1064749
925062+515821,1440883
687335+314993,1002328
222846-187706,35140  
774844-4907  ,769937 
784541+559174,1343715
945390-238365,707025 
897169-140   ,897029 
834162+657041,1491203
872452-835783,36669  
847896+127266,975162 
776961-280520,496441 
523142+129444,652586 
977342-425839,551503 
524864+444443,969307 
765395-59487 ,705908 
954059-530110,423949 
801164-462256,338908 
637877-526931,110946 
763218-333885,429333 
597367+290901,888268 
996075-190793,805282 
970409+721076,1691485
557322-210883,346439 
521140+64610 ,585750 
865172+394437,1259609
433419-418283,15136  
236300+44019 ,280319 
143434+16401 ,159835 
652305-482311,169994 
472551-311281,161270 
955041+471964,1427005
669688-430870,238818 
953542-754605,198937 
763941-442935,321006 
589454-30732 ,558722 
347838+7056  ,354894 
849953+362124,1212077
408747-58668 ,350079 
834408-54464 ,779944 
944582+103284,1047866
403132+212398,615530 
361319-320978,40341  
987030-603372,383658 
907575-54456 ,853119 
757482-275855,481627 
530550+467531,998081 
420404+157039,577443 
858344-232748,625596 
796238+235650,1031888
908794-768731,140063 
319945-43153 ,276792 
976136-334330,641806 
187860-148472,39388  
370573+104563,475136 
554536-314893,239643 
987412-307602,679810 
788600+363292,1151892
688542+495592,1184134
665963+58748 ,724711 
511488-504748,6740   
884643+51341 ,935984 
391570-68412 ,323158 
148905-142131,6774   
733823-442830,290993 
261711-89874 ,171837 
742807-103538,639269 
151521+118381,269902 
226884+181641,408525 
695696-73407 ,622289 
325875+191078,516953 
465714-426049,39665  
959287+915569,1874856
215855-432   ,215423 
253028+245804,498832 
897168+350621,1247789
971047-878577,92470  
762023-259172,502851 
909268+396335,1305603
845855-101823,744032 
673298-422532,250766 
775026-413987,361039 
974924-209931,764993 
785224+644502,1429726
836249-641105,195144 
870446+67319 ,937765 
713045+191178,904223 
830517-414639,415878 
925701-591472,334229 
715460-63655 ,651805 
660150-305862,354288 
761784+746883,1508667
377862+349520,727382 
237048+36304 ,273352 
223340-171447,51893  
750471+504834,1255305
980473-250908,729565 
696430+327700,1024130
723119-194886,528233 
609183+470984,1080167
548277-30244 ,518033 
285139+1264  ,286403 
994733-73963 ,920770 
643329+511510,1154839
374605-157025,217580 
975807+880678,1856485
283449-278671,4778   
945533-833173,112360 
999643+476268,1475911
230768-211667,19101  
738263-421532,316731 
456354+243844,700198 
651566-457420,194146 
925496-598136,327360 
939496+705818,1645314
499348+295560,794908 
574607-453042,121565 
829685-531752,297933 
837190+633163,1470353
710754+687877,1398631
420250-11218 ,409032 
542470-100526,441944 
564953-219083,345870 
929668+473506,1403174
629230-468533,160697 
960319+71406 ,1031725
990380+147116,1137496
766915+600300,1367215
820773+303007,1123780
531007+198831,729838 
710254-339838,370416 
459714+160966,620680 
508283-381437,126846 
683906+569292,1253198
863874-255242,608632 
944423-706949,237474 
654929-5754  ,649175 
91106-41101  ,50005  
677821-177968,499853 
855423-750236,105187 
964044+761002,1725046
870399-186932,683467 
729397+129456,858853 
268345-235627,32718  
686415-93068 ,593347 
722950-162254,560696 
241663-215622,26041  
778851-764736,14115  
899150-283617,615533 
798572+197140,995712 
896828+576937,1473765
448314-77950 ,370364 
240296+202017,442313 
975808-934271,41537  
540451-465811,74640  
880034-259631,620403 
830838+471491,1302329
591554+32759 ,624313 
846197+87788 ,933985 
958671-846814,111857 
979450+542865,1522315
863603-832447,31156  
906898+837248,1744146
839351+156628,995979 
808324-305581,502743 
629211+288132,917343 
826296-163933,662363 
709328-88572 ,620756 
848429-788697,59732  
470471-36784 ,433687 
461900-194350,267550 
826247-295523,530724 
501369+206579,707948 
400237+155131,555368 
728967+655045,1384012
138555-115138,23417  
575539+28365 ,603904 
638788-248063,390725 
996546-746628,249918 
904524-33203 ,871321 
765027-120805,644222 
635696+597641,1233337
964855+132739,1097594
971046-492673,478373 
30712+15337  ,46049  
419522-33643 ,385879 
709628+654308,1363936
797240-410055,387185 
364172+234778,598950 
924812+791503,1716315
573816-474578,99238  
937511+199745,1137256
547419-203005,344414 
212686-46548 ,166138 
789957+600496,1390453
312297-135905,176392 
928369-47173 ,881196 
708265-316867,391398 
860024-696405,163619 
885381-802565,82816  
261298-137597,123701 
766300+452333,1218633
948668+431722,1380390
892542+566547,1459089
602054+88427 ,690481 
690417-517788,172629 
373255-291959,81296  
747484-417398,330086 
906800+617045,1523845
712849-178976,533873 
878870-523545,355325 
899258+82798 ,982056 
450565+164362,614927 
412609+407818,820427 
483097-400615,82482  
921053-906236,14817  
208882-208173,709    
173780-113168,60612  
870222+15143 ,885365 
171170-38163 ,133007 
928202+690045,1618247
753964-525262,228702 
933096-90531 ,842565 
531674-314030,217644 
940904-747703,193201 
709803+618717,1328520
944631+447469,1392100
999761+632303,1632064
513971-74474 ,439497 
785022+13208 ,798230 
977743+915831,1893574
853816+287052,1140868
406177+210295,616472 
954320-360514,593806 
344288+153062,497350 
350784-289198,61586  
830178-585235,244943 
60020-12     ,60008  
729852+24426 ,754278 
518054-322770,195284 
961681+569411,1531092
800281+568292,1368573
952713+262709,1215422
857379+171781,1029160
989515+469044,1458559
198661-105901,92760  
660395+39260 ,699655 
752423-47161 ,705262 
913071+191727,1104798
633486+333500,966986 
816374+634820,1451194
235264-67918 ,167346 
234722-162340,72382  
962503-58904 ,903599 
596713-255341,341372 
864047+818457,1682504
920028-257858,662170 
645810+89186 ,734996 
820324+577493,1397817
760649-577869,182780 
902968+517273,1420241
643646+398405,1042051
856599+480861,1337460
313275+52685 ,365960 
598038-89080 ,508958 
130154-43921 ,86233  
768420+736778,1505198
270458+262037,532495 
981464+215712,1197176
963841+437879,1401720
788993+328351,1117344
747345-581542,165803 
424449-250895,173554 
422115+388376,810491 
884521+810403,1694924
242654-138285,104369 
730261-137956,592305 
812060+232177,1044237
214191-17688 ,196503 
568649+359331,927980 
899919-261762,638157 
938801-888409,50392  
452154-419486,32668  
814566+552867,1367433
854873-781192,73681  
536052-197933,338119 
910591-459388,451203 
519814-298915,220899 
729448+507486,1236934
842420+396195,1238615
551810-546202,5608   
98152+15966  ,114118 
548025+336060,884085 
868592+358402,1226994
924597+268618,1193215
509003-171720,337283 
540188+450102,990290 
866483-28324 ,838159 
785274-460716,324558 
841631+220998,1062629
154192-99205 ,54987  
626613-365605,261008 
709443+87675 ,797118 
603262+198732,801994 
904287+4906  ,909193 
635115-509312,125803 
699770-150485,549285 
154876-144705,10171  
901195+309698,1210893
666548+91065 ,757613 
864222+594703,1458925
966081-196160,769921 
796078+261723,1057801
979046+580611,1559657
920199+237287,1157486
343115-123851,219264 
642194-326799,315395 
913602+530488,1444090
700445-497433,203012 
136480-2543  ,133937 
676145+129842,805987 
863621+474395,1338016
174561-123269,51292  
472106+71902 ,544008 
854871+717769,1572640
516734+381268,898002 
475723-437390,38333  
771340-19922 ,751418 
944058+943682,1887740
341988-238367,103621 
262781-79784 ,182997 
462399-368672,93727  
271487-141172,130315 
471031+459907,930938 
678466-377319,301147 
959861-89684 ,870177 
222452+33866 ,256318 
709778-641829,67949  
62101+29083  ,91184  
901885-206808,695077 
70482+14447  ,84929  
790337+340219,1130556
603286-548209,55077  
887708-189342,698366 
668623-211031,457592 
627179-385175,242004 
346633-297988,48645  
702749-104392,598357 
556009+8070  ,564079 
853437-503230,350207 
849299+388198,1237497
407827-395517,12310  
220698-85667 ,135031 
161107+54539 ,215646 
846268-651301,194967 
634997+184470,819467 
395388-173441,221947 
536373+398634,935007 
706205+622701,1328906
842034-306630,535404 
398228+392600,790828 
659603-101710,557893 
514495-55186 ,459309 
873070+798283,1671353
985251-522878,462373 
428485-286275,142210 
561692+436552,998244 
437747+287905,725652 
898842-310101,588741 
458933+368748,827681 
403166-264695,138471 
932958+799923,1732881
996413+937126,1933539
726525-477074,249451 
744696-530731,213965 
657191-626857,30334  
475788-182964,292824 
868023-24599 ,843424 
619847-592333,27514  
673482+218264,891746 
324030+142744,466774 
398181-374188,23993  
772864+557768,1330632
691529-444533,246996 
209213+145374,354587 
965072+3593  ,968665 
457820+29778 ,487598 
632613+175899,808512 
685696+79469 ,765165 
113018-89063 ,23955  
889582+240339,1129921
938024+349689,1287713
512881+369722,882603 
674272+673148,1347420
975380-781209,194171 
941471-229628,711843 
790652-54115 ,736537 
692530-312756,379774 
466298-243906,222392 
552262-528698,23564  
807410+392608,1200018
442395-226561,215834 
443136-219393,223743 
422293-161251,261042 
730183+140864,871047 
451793-215046,236747 
387290-367942,19348  
460133+294733,754866 
626216-584764,41452  
219288-67265 ,152023 
745357+612583,1357940
798090-411805,386285 
830817-515261,315556 
810020-678713,131307 
568725+8353  ,577078 
845024+577850,1422874
975572-636755,338817 
809424-463321,346103 
669726+29003 ,698729 
