Formula,Answer
2270+1778,4048 
5599-4355,1244 
9599-8551,1048 
4774-1565,3209 
4335+2332,6667 
9976-4948,5028 
8446+3107,11553
781+242  ,1023 
6947-6924,23   
8033+5494,13527
5847-3123,2724 
8335+8149,16484
5166-4577,589  
4215+1635,5850 
7108-700 ,6408 
2722-2544,178  
2777+1950,4727 
9405-3147,6258 
6887-5016,1871 
4266-3961,305  
9911-8774,1137 
9964+7785,17749
9309-2283,7026 
8115+286 ,8401 
9645+503 ,10148
3085+348 ,3433 
6947-336 ,6611 
5667-976 ,4691 
4929-722 ,4207 
2063-1466,597  
4886-2494,2392 
9298-5332,3966 
6521+3244,9765 
7417-4812,2605 
9569+2833,12402
9955-9720,235  
2767-832 ,1935 
9989-4327,5662 
9553-972 ,8581 
5850-3667,2183 
7573-7415,158  
7154+6951,14105
9315+2041,11356
6944+3047,9991 
7622-1989,5633 
8179+5796,13975
8446-7444,1002 
8631+7521,16152
5319+3283,8602 
2364-1296,1068 
6676-597 ,6079 
9994-3299,6695 
898+310  ,1208 
2629+908 ,3537 
7032-5759,1273 
9941+594 ,10535
1734-397 ,1337 
7613-5731,1882 
7060-4883,2177 
6720-1687,5033 
5567-316 ,5251 
8846+1137,9983 
9938-9875,63   
8091+1501,9592 
9166+2083,11249
5934-4879,1055 
7547-6321,1226 
9761-3169,6592 
5432-1380,4052 
8690+3171,11861
6096+4581,10677
8627-3465,5162 
7400+3815,11215
3297+3179,6476 
4037-428 ,3609 
7951-4152,3799 
7606-7136,470  
7404-3645,3759 
8083-6196,1887 
5824+4843,10667
3387+2632,6019 
9608-3122,6486 
5626+3057,8683 
9788-843 ,8945 
9954-1675,8279 
8543+3538,12081
4307-3524,783  
9298+5392,14690
5395-5222,173  
7295-1088,6207 
9856+9562,19418
7664-4737,2927 
5717-2068,3649 
2806+1507,4313 
6774+5065,11839
3763+222 ,3985 
6719+5732,12451
5745-997 ,4748 
9970+3892,13862
4505-106 ,4399 
4962+108 ,5070 
5498-3222,2276 
7156-3325,3831 
2114+1148,3262 
7149+434 ,7583 
6685+3410,10095
7984+5716,13700
6966+6876,13842
5682+1536,7218 
7706-4593,3113 
9879-3181,6698 
9574+8639,18213
2811-1274,1537 
7832-3907,3925 
9525-7494,2031 
7021-4324,2697 
5096-4145,951  
9760-1978,7782 
8228+7579,15807
3932+3457,7389 
7934-4894,3040 
6258+440 ,6698 
5433-4238,1195 
7913-5316,2597 
6812+5328,12140
5545+5409,10954
4441-3384,1057 
7216-1903,5313 
2173+184 ,2357 
1081+74  ,1155 
8005+7804,15809
8748+6407,15155
8758+2452,11210
9477-1742,7735 
8162-3474,4688 
9042-8546,496  
8842-5864,2978 
3267+684 ,3951 
8956+540 ,9496 
7370+3266,10636
8791+7032,15823
6862-3089,3773 
6867+4454,11321
8769-7977,792  
4114+524 ,4638 
7920+2843,10763
5067-1447,3620 
5230+570 ,5800 
4686-4183,503  
9373-2137,7236 
9456-3256,6200 
7448+2440,9888 
2762+1687,4449 
9274+5158,14432
5635+15  ,5650 
4750-4074,676  
3674-470 ,3204 
6237+2895,9132 
2136-1275,861  
9529+3969,13498
6077+2994,9071 
5017-805 ,4212 
8021-6036,1985 
6346-6138,208  
9036+6572,15608
1132+572 ,1704 
2926+2481,5407 
5623-595 ,5028 
5863+2153,8016 
9426-7285,2141 
6476-1374,5102 
7490-2068,5422 
6253+1242,7495 
4617-3039,1578 
4628+1849,6477 
9492-4382,5110 
4009-3458,551  
3953+896 ,4849 
9683+3846,13529
3416+1671,5087 
9383+1895,11278
7246-6409,837  
5434+2958,8392 
3339+1152,4491 
5223+571 ,5794 
8105+5952,14057
9175-4782,4393 
5170-1891,3279 
9895-5001,4894 
8390-4965,3425 
6237-2428,3809 
4646+240 ,4886 
5655+839 ,6494 
7747+5981,13728
4729-984 ,3745 
6792-5008,1784 
5612-5173,439  
6006-385 ,5621 
7752+1445,9197 
6455-4304,2151 
2590-1846,744  
4601+3941,8542 
8878-1076,7802 
9490+5951,15441
7147+4607,11754
9280+7918,17198
8947-8783,164  
8486+3283,11769
8925+5487,14412
6969-3554,3415 
4600+809 ,5409 
8441-5864,2577 
5347-306 ,5041 
9127-5272,3855 
6649-4076,2573 
9639+7900,17539
6755-5843,912  
9019+1309,10328
4638-1796,2842 
4227-4023,204  
7495+1328,8823 
9167+3419,12586
5897-4197,1700 
8185-2694,5491 
7464-2996,4468 
3061-1136,1925 
7564+6247,13811
7213+1792,9005 
5947+1785,7732 
7790+7734,15524
9868+2951,12819
3036+640 ,3676 
4859-3103,1756 
7501-3416,4085 
7695-1641,6054 
3313+401 ,3714 
8435-6180,2255 
9124+380 ,9504 
7211-2182,5029 
5077-2779,2298 
9582-6271,3311 
5295-1652,3643 
8497+734 ,9231 
8540+7840,16380
6270-317 ,5953 
3415-2100,1315 
7480-2991,4489 
5193+4303,9496 
8164-2711,5453 
2647+1555,4202 
8836+8739,17575
7393-309 ,7084 
4286-4024,262  
9231-7814,1417 
9399+5470,14869
8609+5200,13809
6536+3864,10400
7928-2491,5437 
5482-1941,3541 
9729+7912,17641
5494-785 ,4709 
9666-5159,4507 
3941-3613,328  
8332-1862,6470 
7210-3328,3882 
2135-1798,337  
9978-8703,1275 
8186+7379,15565
9901+2473,12374
9280+9017,18297
2968-2040,928  
6762+4070,10832
6705+754 ,7459 
1511+1331,2842 
9905-9500,405  
8878+7279,16157
5205-1763,3442 
8764-5337,3427 
9357+6306,15663
8895-1159,7736 
