Formula,Answer
55832-31409,24423
82002-23993,58009
41322-27231,14091
11550-4049 ,7501 
67927-61059,6868 
67809-22504,45305
53100-50985,2115 
80858-8446 ,72412
87526-82194,5332 
73174-24637,48537
22633-20579,2054 
36976-5956 ,31020
28398-9303 ,19095
88305-61789,26516
75729-1878 ,73851
90748-31353,59395
53674-46549,7125 
93178-44293,48885
40717-4444 ,36273
95071-77260,17811
91883-75180,16703
90523-15651,74872
50508-46127,4381 
77191-42709,34482
82859-31519,51340
93720-78983,14737
14189-7141 ,7048 
82503-27515,54988
93389-4445 ,88944
33477-25989,7488 
80443-62425,18018
69064-1968 ,67096
64473-48902,15571
87336-14315,73021
29912-24666,5246 
49447-8172 ,41275
64166-57973,6193 
47141-40383,6758 
88896-1987 ,86909
89279-63507,25772
26150-2228 ,23922
36407-15670,20737
53088-49227,3861 
32227-2183 ,30044
58686-34309,24377
52228-8793 ,43435
74957-66984,7973 
79971-75055,4916 
3836-1442  ,2394 
40001-28883,11118
29946-11742,18204
67694-36578,31116
91123-59451,31672
89107-24038,65069
36652-17178,19474
98284-94280,4004 
78774-70788,7986 
93222-76691,16531
88813-58886,29927
43263-9609 ,33654
39090-29983,9107 
68924-6962 ,61962
63754-18630,45124
41652-19360,22292
65992-57987,8005 
53763-41551,12212
94318-9648 ,84670
72569-47120,25449
50803-9042 ,41761
37855-6598 ,31257
83011-12319,70692
72432-26831,45601
15091-1580 ,13511
86313-70708,15605
81123-20782,60341
95041-51935,43106
53808-37918,15890
75232-25415,49817
65078-35666,29412
96970-28118,68852
52416-21761,30655
50347-46265,4082 
93520-959  ,92561
33351-26683,6668 
85177-9692 ,75485
99813-18197,81616
73122-31295,41827
75764-26171,49593
97675-70794,26881
87841-12592,75249
82229-34254,47975
85458-13191,72267
56761-33396,23365
77906-23172,54734
47117-27745,19372
38179-12297,25882
85866-81857,4009 
79039-62392,16647
34385-13479,20906
85783-41443,44340
73744-44718,29026
57297-15378,41919
59782-26905,32877
10403-5190 ,5213 
99645-684  ,98961
87099-85837,1262 
29651-1595 ,28056
30683-8048 ,22635
68679-30868,37811
64513-36782,27731
82407-1094 ,81313
33094-14735,18359
99412-56477,42935
78117-60299,17818
78145-45668,32477
97499-42808,54691
8781-255   ,8526 
32264-7958 ,24306
90302-39945,50357
83424-81614,1810 
34327-20822,13505
86747-34080,52667
87075-30667,56408
81733-43296,38437
10740-9841 ,899  
46600-46498,102  
86203-4488 ,81715
63572-5044 ,58528
81092-66209,14883
91440-48133,43307
81031-63703,17328
42155-5058 ,37097
93378-46113,47265
89703-71298,18405
92528-62557,29971
81229-67404,13825
74478-43782,30696
65094-38290,26804
88949-4918 ,84031
87192-8874 ,78318
69103-52004,17099
80543-15608,64935
51712-25955,25757
52270-35575,16695
53578-36631,16947
41521-15339,26182
99253-80072,19181
79675-49069,30606
91796-81122,10674
20813-4893 ,15920
77196-48526,28670
92462-81591,10871
64175-13126,51049
82901-34535,48366
85765-75970,9795 
97960-542  ,97418
71492-58145,13347
82174-29235,52939
76349-27099,49250
56606-26427,30179
98623-48745,49878
82493-48137,34356
17110-7712 ,9398 
45425-22391,23034
67519-66764,755  
32377-20293,12084
66431-21359,45072
91993-39024,52969
77296-50859,26437
26088-11818,14270
36995-36005,990  
39527-8048 ,31479
78879-55187,23692
59811-50292,9519 
93397-82059,11338
58741-14236,44505
88785-39544,49241
59907-10479,49428
64348-54713,9635 
46717-1433 ,45284
72301-59743,12558
53576-22051,31525
60057-16890,43167
44238-30565,13673
3473-1534  ,1939 
72314-64523,7791 
