Formula,Answer
47234-42413,4821 
19510-18341,1169 
76756-55217,21539
80324-27133,53191
83499-15171,68328
56218-7545 ,48673
86849-59962,26887
76090-46730,29360
52257-624  ,51633
56601-30371,26230
68215-37226,30989
53463-49490,3973 
91215-15661,75554
14961-5926 ,9035 
95165-76181,18984
33119-28260,4859 
96107-19566,76541
72638-58218,14420
54173-19581,34592
95697-12115,83582
61786-17442,44344
89139-85569,3570 
74593-51785,22808
55698-53276,2422 
80777-57122,23655
96345-46118,50227
62497-32655,29842
74507-44267,30240
67866-64606,3260 
94189-68680,25509
29490-29355,135  
62356-34627,27729
87681-40462,47219
56840-7667 ,49173
65857-19960,45897
48332-7732 ,40600
97022-34268,62754
65011-36796,28215
92758-1406 ,91352
79651-76131,3520 
82127-81045,1082 
76233-19436,56797
71008-62333,8675 
75624-3689 ,71935
99946-89410,10536
37159-13210,23949
62806-20841,41965
75286-71170,4116 
55059-37320,17739
8048-7829  ,219  
94281-67313,26968
62850-30169,32681
75582-65752,9830 
48080-40741,7339 
90431-26686,63745
84950-19637,65313
28945-462  ,28483
80730-19056,61674
64222-32636,31586
53612-10197,43415
72055-56399,15656
16820-1101 ,15719
99167-1439 ,97728
11164-1721 ,9443 
76237-69070,7167 
97672-53343,44329
87323-50100,37223
96834-51143,45691
68712-34082,34630
81091-71646,9445 
28264-16047,12217
86276-79751,6525 
21901-4343 ,17558
67709-57147,10562
69984-37775,32209
60403-34761,25642
38610-26763,11847
89134-41532,47602
86966-37996,48970
95659-48479,47180
62122-20823,41299
66194-44186,22008
56405-30526,25879
66605-21865,44740
89621-12821,76800
79856-40462,39394
44653-29151,15502
74434-44704,29730
63298-11958,51340
39184-25145,14039
80744-41222,39522
65274-42892,22382
98118-15139,82979
48965-43794,5171 
46071-13348,32723
34166-12281,21885
87687-47105,40582
45690-845  ,44845
12783-3385 ,9398 
59542-44004,15538
76214-43316,32898
28710-7955 ,20755
90929-12067,78862
89655-45430,44225
56303-41805,14498
76452-32605,43847
33356-13148,20208
27456-23613,3843 
90910-85258,5652 
95902-95482,420  
41203-15354,25849
32140-4674 ,27466
84873-38422,46451
57109-53726,3383 
98742-36433,62309
85654-42699,42955
89186-62889,26297
59521-52153,7368 
44362-37861,6501 
66715-30697,36018
7413-6357  ,1056 
77561-24043,53518
67290-67141,149  
21046-12133,8913 
98025-77425,20600
77803-76537,1266 
75105-5339 ,69766
62249-22758,39491
96808-72866,23942
81536-24592,56944
7747-5284  ,2463 
76540-7159 ,69381
72417-59922,12495
71340-16453,54887
43215-8541 ,34674
70102-20637,49465
79105-50928,28177
62900-51016,11884
91628-90397,1231 
65582-57462,8120 
41110-22742,18368
97424-69902,27522
93064-46666,46398
55569-44461,11108
92291-12918,79373
68867-33340,35527
78088-49455,28633
87634-52438,35196
68850-8307 ,60543
62596-39467,23129
63047-24742,38305
57513-22366,35147
58204-47493,10711
87712-6204 ,81508
